age,gender,genre
48,1,Country
61,1,Blues
38,1,Rock
24,0,Pop
52,1,Rock
17,1,Hip hop
70,1,Classical
30,0,Hip hop
48,1,Jazz
67,1,Classical
28,1,Indie
32,1,Pop
20,1,Pop
20,0,Pop
33,1,Electronic
62,1,Jazz
45,1,Rock
49,0,Country
33,1,Hip hop
12,1,Hip hop
31,0,Electronic
62,1,Blues
11,0,Hip hop
33,1,Pop
53,0,Classical
39,0,Classical
47,0,Blues
11,0,Pop
69,1,Rock
30,0,Rock
42,0,Blues
21,1,Indie
67,1,Country
31,0,Rock
70,0,Classical
53,1,Classical
34,0,Pop
58,1,Classical
36,1,Classical
68,0,Country
51,1,Jazz
37,1,Country
69,0,Blues
25,1,Hip hop
24,1,Hip hop
56,0,Country
60,1,Classical
53,1,Jazz
64,0,Rock
61,1,Classical
66,1,Classical
12,1,Hip hop
46,1,Blues
60,0,Classical
16,1,Pop
30,0,Hip hop
18,1,Hip hop
48,0,Jazz
27,1,Indie
13,0,Hip hop
34,0,Hip hop
69,1,Jazz
23,1,Indie
59,0,Classical
67,0,Blues
18,0,Pop
35,0,Classical
62,0,Blues
11,0,Pop
29,1,Electronic
37,1,Rock
56,0,Country
69,0,Blues
16,1,Hip hop
53,0,Blues
70,0,Jazz
17,1,Hip hop
56,1,Blues
44,0,Rock
23,1,Rock
26,0,Indie
45,1,Rock
59,0,Jazz
49,0,Country
13,0,Hip hop
11,0,Hip hop
15,1,Pop
63,1,Jazz
51,1,Blues
13,0,Pop
63,1,Jazz
38,0,Classical
27,0,Pop
35,1,Rock
53,1,Rock
43,0,Blues
19,0,Pop
45,1,Jazz
23,1,Rock
40,1,Jazz
57,1,Blues
24,1,Hip hop
17,0,Pop
23,0,Hip hop
32,0,Pop
69,1,Blues
66,0,Jazz
49,1,Rock
30,1,Hip hop
25,1,Hip hop
54,0,Blues
27,0,Rock
56,0,Jazz
62,0,Jazz
33,1,Pop
35,1,Country
34,0,Indie
69,0,Country
69,1,Blues
69,0,Rock
54,0,Classical
50,1,Classical
38,0,Rock
24,0,Electronic
54,0,Country
10,1,Pop
34,0,Pop
16,0,Electronic
18,1,Electronic
33,1,Rock
10,1,Hip hop
53,1,Blues
17,1,Pop
33,1,Pop
20,1,Pop
60,0,Classical
26,1,Rock
17,1,Pop
44,1,Blues
44,0,Rock
42,0,Classical
68,1,Classical
14,1,Hip hop
51,1,Classical
48,0,Classical
67,1,Jazz
50,0,Blues
37,0,Jazz
16,1,Electronic
18,0,Electronic
17,1,Electronic
21,0,Rock
43,0,Rock
42,0,Classical
57,1,Country
64,0,Classical
32,0,Rock
33,1,Pop
46,0,Classical
44,0,Classical
53,1,Blues
49,1,Jazz
31,1,Pop
36,0,Blues
44,0,Blues
10,0,Pop
44,0,Classical
46,0,Rock
56,1,Rock
23,0,Electronic
12,1,Rock
10,0,Pop
14,0,Pop
35,1,Blues
64,0,Rock
23,0,Pop
48,1,Rock
36,1,Rock
18,0,Electronic
24,1,Hip hop
24,0,Indie
35,1,Jazz
51,0,Classical
69,1,Blues
22,1,Electronic
60,0,Jazz
41,1,Classical
48,1,Country
58,1,Jazz
61,0,Country
70,1,Jazz
41,1,Rock
13,1,Pop
39,0,Blues
46,0,Classical
32,1,Electronic
48,0,Blues
54,1,Blues
24,0,Rock
52,1,Classical
38,0,Blues
45,1,Classical
22,1,Electronic
41,0,Blues
16,1,Pop
68,1,Blues
60,1,Blues
31,0,Hip hop
37,1,Country
11,1,Pop
51,1,Country
54,0,Rock
66,1,Jazz
62,0,Blues
15,1,Pop
37,0,Country
37,0,Country
53,0,Blues
53,1,Blues
29,0,Rock
39,0,Rock
20,0,Electronic
67,0,Blues
64,0,Jazz
37,0,Rock
34,0,Rock
48,0,Rock
42,0,Rock
10,1,Rock
66,0,Country
36,0,Rock
66,0,Jazz
61,0,Blues
22,0,Indie
50,0,Classical
12,0,Pop
48,1,Classical
15,1,Electronic
17,1,Pop
36,0,Rock
18,0,Pop
46,1,Jazz
42,1,Jazz
60,0,Country
51,0,Rock
53,1,Jazz
33,1,Pop
24,1,Rock
68,1,Blues
63,0,Country
41,1,Jazz
41,1,Rock
33,0,Electronic
50,1,Jazz
61,1,Country
58,1,Blues
58,0,Classical
67,0,Jazz
61,1,Country
21,0,Hip hop
48,0,Rock
11,1,Electronic
12,0,Rock
58,1,Jazz
46,0,Jazz
58,1,Jazz
65,0,Rock
26,0,Pop
68,1,Country
58,1,Classical
11,1,Electronic
11,1,Hip hop
37,0,Blues
63,0,Blues
32,1,Pop
46,0,Rock
41,1,Country
42,0,Jazz
10,1,Pop
28,0,Hip hop
11,1,Hip hop
62,0,Jazz
53,0,Classical
35,1,Rock
41,0,Rock
15,0,Pop
41,1,Classical
64,1,Jazz
13,1,Rock
64,1,Classical
20,0,Rock
65,1,Blues
68,1,Country
26,1,Rock
47,0,Blues
33,0,Hip hop
14,0,Electronic
61,0,Rock
43,1,Rock
15,0,Hip hop
31,0,Indie
20,1,Pop
57,1,Jazz
25,0,Indie
42,1,Country
18,0,Hip hop
69,0,Classical
68,0,Jazz
15,1,Hip hop
25,1,Electronic
38,0,Blues
12,0,Rock
29,1,Electronic
69,0,Jazz
68,1,Country
45,1,Country
28,1,Rock
35,1,Classical
12,0,Rock
28,1,Hip hop
29,1,Hip hop
41,1,Country
16,0,Hip hop
61,0,Rock
50,0,Rock
42,0,Jazz
49,0,Rock
48,1,Jazz
27,0,Rock
49,0,Rock
10,1,Electronic
20,0,Pop
37,0,Rock
66,1,Rock
34,0,Indie
59,0,Rock
32,1,Pop
40,0,Rock
39,0,Classical
51,1,Classical
44,0,Country
16,0,Pop
69,0,Rock
25,0,Indie
35,0,Classical
57,1,Country
66,0,Country
61,1,Jazz
69,0,Blues
58,0,Classical
11,1,Rock
10,1,Rock
57,1,Jazz
21,0,Hip hop
14,0,Hip hop
46,1,Rock
41,0,Rock
68,0,Classical
64,0,Jazz
18,0,Pop
50,0,Country
44,1,Classical
28,0,Pop
57,1,Blues
25,0,Hip hop
12,0,Electronic
29,0,Pop
33,0,Rock
63,1,Blues
65,0,Jazz
42,0,Classical
33,1,Indie
61,0,Classical
20,0,Rock
58,0,Classical
17,1,Electronic
45,0,Jazz
47,1,Jazz
49,1,Jazz
29,0,Rock
44,0,Rock
57,0,Rock
34,0,Rock
44,1,Blues
34,0,Indie
38,0,Classical
27,0,Electronic
55,1,Country
27,0,Rock
11,0,Rock
63,0,Jazz
44,0,Jazz
25,0,Rock
70,0,Rock
50,0,Country
45,1,Country
42,1,Blues
13,0,Rock
42,0,Jazz
23,0,Pop
30,1,Pop
57,0,Blues
29,0,Rock
65,1,Rock
17,1,Pop
16,0,Hip hop
12,0,Pop
26,1,Electronic
42,1,Classical
57,1,Jazz
21,1,Electronic
68,0,Classical
60,0,Jazz
31,1,Pop
64,0,Rock
31,0,Electronic
55,1,Blues
39,1,Blues
47,1,Country
47,0,Rock
54,0,Rock
60,0,Country
63,1,Classical
17,0,Pop
36,1,Blues
36,0,Country
43,1,Rock
30,0,Pop
39,0,Classical
42,1,Jazz
37,1,Classical
56,0,Jazz
42,0,Classical
14,1,Hip hop
69,0,Classical
70,0,Classical
57,1,Jazz
28,1,Rock
13,0,Electronic
44,1,Country
58,0,Country
26,0,Electronic
53,1,Blues
37,0,Rock
39,0,Rock
38,0,Rock
55,0,Rock
62,0,Blues
15,1,Pop
44,1,Country
69,0,Jazz
50,0,Jazz
46,1,Blues
33,0,Pop
38,1,Country
58,1,Classical
55,1,Classical
62,0,Blues
40,0,Rock
44,0,Classical
69,0,Blues
42,1,Jazz
61,0,Classical
70,0,Blues
30,0,Indie
41,1,Rock
32,0,Indie
42,1,Country
12,0,Hip hop
27,0,Hip hop
34,0,Hip hop
51,0,Jazz
40,0,Country
63,1,Jazz
67,0,Jazz
12,1,Pop
49,0,Rock
55,0,Rock
33,1,Rock
59,0,Rock
41,1,Classical
56,1,Rock
31,0,Pop
32,0,Indie
11,0,Hip hop
36,0,Country
51,0,Jazz
11,1,Pop
35,1,Country
26,0,Pop
49,0,Rock
42,1,Country
18,1,Pop
52,1,Jazz
63,0,Jazz
57,0,Classical
48,1,Rock
38,1,Classical
51,0,Jazz
64,1,Country
35,0,Jazz
